platform	dbGapId
dbGaP	phs000928
dbGaP	phs000929
dbGaP	phs000931
dbGaP	phs000932
dbGaP	phs000933
dbGaP	phs000934
dbGaP	phs000935
dbGaP	phs000937
dbGaP	phs000938
dbGaP	phs000939
dbGaP	phs000941
dbGaP	phs000942
dbGaP	phs000944
dbGaP	phs000945
dbGaP	phs000947
dbGaP	phs000948
dbGaP	phs000949
dbGaP	phs000950
dbGaP	phs000952
dbGaP	phs000953
dbGaP	phs000955
dbGaP	phs000957
dbGaP	phs000958
dbGaP	phs000959
dbGaP	phs000960
dbGaP	phs000961
dbGaP	phs000962
dbGaP	phs000965
dbGaP	phs000966
dbGaP	phs000967
dbGaP	phs000968
dbGaP	phs000969
dbGaP	phs000970
dbGaP	phs000973
dbGaP	phs000975
dbGaP	phs000976
dbGaP	phs000977
dbGaP	phs000978
dbGaP	phs000980
dbGaP	phs000981
dbGaP	phs000982
dbGaP	phs000983
dbGaP	phs000984
dbGaP	phs000985
dbGaP	phs000986
dbGaP	phs000987
dbGaP	phs000989
dbGaP	phs000991
dbGaP	phs000992
dbGaP	phs000994
dbGaP	phs000996
dbGaP	phs000999
dbGaP	phs001000
dbGaP	phs001002
dbGaP	phs001003
dbGaP	phs001004
dbGaP	phs001005
dbGaP	phs001006
dbGaP	phs001007
dbGaP	phs001008
dbGaP	phs001009
dbGaP	phs001010
dbGaP	phs001011
dbGaP	phs001014
dbGaP	phs001015
dbGaP	phs001016
dbGaP	phs001017
dbGaP	phs001018
dbGaP	phs001020
dbGaP	phs001021
dbGaP	phs001022
dbGaP	phs001023
dbGaP	phs001025
dbGaP	phs001026
dbGaP	phs001027
dbGaP	phs001028
dbGaP	phs001029
dbGaP	phs001030
dbGaP	phs001031
dbGaP	phs001034
dbGaP	phs001036
dbGaP	phs001038
dbGaP	phs001039
dbGaP	phs001041
dbGaP	phs001043
dbGaP	phs001044
dbGaP	phs001045
dbGaP	phs001046
dbGaP	phs001048
dbGaP	phs001049
dbGaP	phs001050
dbGaP	phs001052
dbGaP	phs001053
dbGaP	phs001054
dbGaP	phs001055
dbGaP	phs001056
dbGaP	phs001057
dbGaP	phs001059
dbGaP	phs001060
dbGaP	phs001061
